"hod";"cod";"N";"disease";"total.cod";"total.hod";"total";"prop.cod";"prop.total"
3;"B17";1;"Other acute viral hepatitis";12;19724;513095;0,0833333333333333;0,0384412243346749
3;"B18";28;"Chronic viral hepatitis";732;19724;513095;0,0382513661202186;0,0384412243346749
3;"B19";15;"Unspecified viral hepatitis";330;19724;513095;0,0454545454545455;0,0384412243346749
3;"B20";100;"Human immunodeficiency virus [HIV] disease with infectious and parasitic diseases";2622;19724;513095;0,03813882532418;0,0384412243346749
3;"B21";2;"Human immunodeficiency virus [HIV] disease with malignant neoplasms";194;19724;513095;0,0103092783505155;0,0384412243346749
3;"B22";18;"Human immunodeficiency virus [HIV] disease with other specified diseases";419;19724;513095;0,0429594272076372;0,0384412243346749
3;"B23";33;"Human immunodeficiency virus [HIV] disease with other conditions";1025;19724;513095;0,0321951219512195;0,0384412243346749
3;"B24";20;"Unspecified human immunodeficiency virus [HIV] disease";727;19724;513095;0,0275103163686382;0,0384412243346749
3;"B25";1;"Cytomegaloviral disease";17;19724;513095;0,0588235294117647;0,0384412243346749
3;"B33";1;"Other viral diseases, not elsewhere classified";10;19724;513095;0,1;0,0384412243346749
3;"B37";3;"Candidiasis";86;19724;513095;0,0348837209302326;0,0384412243346749
3;"B39";1;"Histoplasmosis";10;19724;513095;0,1;0,0384412243346749
3;"B46";2;"Zygomycosis";21;19724;513095;0,0952380952380952;0,0384412243346749
3;"B49";1;"Unspecified mycosis";16;19724;513095;0,0625;0,0384412243346749
3;"B57";2;"Chagas' disease";36;19724;513095;0,0555555555555556;0,0384412243346749
3;"B60";1;"Other protozoal diseases, not elsewhere classified";3;19724;513095;0,333333333333333;0,0384412243346749
3;"B69";6;"Cysticercosis";88;19724;513095;0,0681818181818182;0,0384412243346749
3;"B88";1;"Other infestations";6;19724;513095;0,166666666666667;0,0384412243346749
3;"B90";5;"Sequelae of tuberculosis";199;19724;513095;0,0251256281407035;0,0384412243346749
3;"B94";10;"Sequelae of other and unspecified infectious and parasitic diseases";227;19724;513095;0,0440528634361234;0,0384412243346749
3;"C01";1;"Malignant neoplasm of base of tongue";21;19724;513095;0,0476190476190476;0,0384412243346749
3;"C02";8;"Malignant neoplasm of other and unspecified parts of tongue";202;19724;513095;0,0396039603960396;0,0384412243346749
3;"C03";3;"Malignant neoplasm of gum";33;19724;513095;0,0909090909090909;0,0384412243346749
3;"C06";6;"Malignant neoplasm of other and unspecified parts of mouth";89;19724;513095;0,0674157303370786;0,0384412243346749
3;"C07";3;"Malignant neoplasm of parotid gland";100;19724;513095;0,03;0,0384412243346749
3;"C09";1;"Malignant neoplasm of tonsil";43;19724;513095;0,0232558139534884;0,0384412243346749
3;"C10";2;"Malignant neoplasm of oropharynx";35;19724;513095;0,0571428571428571;0,0384412243346749
3;"C11";4;"Malignant neoplasm of nasopharynx";61;19724;513095;0,0655737704918033;0,0384412243346749
3;"C13";2;"Malignant neoplasm of hypopharynx";47;19724;513095;0,0425531914893617;0,0384412243346749
3;"C14";10;"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity, and pharynx";171;19724;513095;0,0584795321637427;0,0384412243346749
3;"C15";40;"Malignant neoplasm of esophagus";883;19724;513095;0,0453001132502831;0,0384412243346749
3;"C16";224;"Malignant neoplasm of stomach";5326;19724;513095;0,0420578295155839;0,0384412243346749
3;"C17";8;"Malignant neoplasm of small intestine";181;19724;513095;0,0441988950276243;0,0384412243346749
3;"C18";131;"Malignant neoplasm of colon";3170;19724;513095;0,0413249211356467;0,0384412243346749
3;"C19";11;"Malignant neoplasm of rectosigmoid junction";159;19724;513095;0,0691823899371069;0,0384412243346749
3;"C20";21;"Malignant neoplasm of rectum";526;19724;513095;0,0399239543726236;0,0384412243346749
3;"C21";2;"Malignant neoplasm of anus and anal canal";52;19724;513095;0,0384615384615385;0,0384412243346749
3;"C22";204;"Malignant neoplasm of liver and intrahepatic bile ducts";4862;19724;513095;0,041958041958042;0,0384412243346749
3;"C23";15;"Malignant neoplasm of gallbladder";562;19724;513095;0,0266903914590747;0,0384412243346749
3;"C24";44;"Malignant neoplasm of other and unspecified parts of biliary tract";1019;19724;513095;0,0431795878312071;0,0384412243346749
3;"C25";156;"Malignant neoplasm of pancreas";3493;19724;513095;0,0446607500715717;0,0384412243346749
3;"C26";9;"Malignant neoplasm of other and ill-defined digestive organs";340;19724;513095;0,0264705882352941;0,0384412243346749
3;"C30";1;"Malignant neoplasm of nasal cavity and middle ear";20;19724;513095;0,05;0,0384412243346749
3;"C31";2;"Malignant neoplasm of accessory sinuses";49;19724;513095;0,0408163265306122;0,0384412243346749
3;"C32";36;"Malignant neoplasm of larynx";826;19724;513095;0,0435835351089588;0,0384412243346749
3;"C33";1;"Malignant neoplasm of trachea";11;19724;513095;0,0909090909090909;0,0384412243346749
3;"C34";230;"Malignant neoplasm of bronchus and lung";6477;19724;513095;0,0355102670989656;0,0384412243346749
3;"C38";4;"Malignant neoplasm of heart, mediastinum, and pleura";87;19724;513095;0,0459770114942529;0,0384412243346749
3;"C40";6;"Malignant neoplasm of bone and articular cartilage of limbs";100;19724;513095;0,06;0,0384412243346749
3;"C41";20;"Malignant neoplasm of bone and articular cartilage of other and unspecified sites";619;19724;513095;0,0323101777059774;0,0384412243346749
3;"C43";16;"Malignant melanoma of skin";473;19724;513095;0,0338266384778013;0,0384412243346749
3;"C44";32;"Other malignant neoplasms of skin";793;19724;513095;0,0403530895334174;0,0384412243346749
3;"C45";8;"Mesothelioma";224;19724;513095;0,0357142857142857;0,0384412243346749
3;"C46";2;"Kaposi's sarcoma";15;19724;513095;0,133333333333333;0,0384412243346749
3;"C47";2;"Malignant neoplasm of peripheral nerves and autonomic nervous system";33;19724;513095;0,0606060606060606;0,0384412243346749
3;"C48";5;"Malignant neoplasm of retroperitoneum and peritoneum";195;19724;513095;0,0256410256410256;0,0384412243346749
3;"C49";23;"Malignant neoplasm of other connective and soft tissue";613;19724;513095;0,0375203915171289;0,0384412243346749
3;"C50";178;"Malignant neoplasm of breast";4684;19724;513095;0,03800170794193;0,0384412243346749
3;"C51";4;"Malignant neoplasm of vulva";113;19724;513095;0,0353982300884956;0,0384412243346749
3;"C53";162;"Malignant neoplasm of cervix uteri";3895;19724;513095;0,041591784338896;0,0384412243346749
3;"C54";7;"Malignant neoplasm of corpus uteri";321;19724;513095;0,0218068535825545;0,0384412243346749
3;"C55";11;"Malignant neoplasm of uterus, part unspecified";286;19724;513095;0,0384615384615385;0,0384412243346749
3;"C56";53;"Malignant neoplasm of ovary";1641;19724;513095;0,032297379646557;0,0384412243346749
3;"C57";3;"Malignant neoplasm of other and unspecified female genital organs";33;19724;513095;0,0909090909090909;0,0384412243346749
3;"C58";1;"Malignant neoplasm of placenta";16;19724;513095;0,0625;0,0384412243346749
3;"C60";6;"Malignant neoplasm of penis";145;19724;513095;0,0413793103448276;0,0384412243346749
3;"C61";204;"Malignant neoplasm of prostate";4968;19724;513095;0,0410628019323672;0,0384412243346749
3;"C62";15;"Malignant neoplasm of testis";340;19724;513095;0,0441176470588235;0,0384412243346749
3;"C64";64;"Malignant neoplasm of kidney, except renal pelvis";1650;19724;513095;0,0387878787878788;0,0384412243346749
3;"C65";1;"Malignant neoplasm of renal pelvis";6;19724;513095;0,166666666666667;0,0384412243346749
3;"C67";34;"Malignant neoplasm of bladder";999;19724;513095;0,034034034034034;0,0384412243346749
3;"C69";2;"Malignant neoplasm of eye and adnexa";85;19724;513095;0,0235294117647059;0,0384412243346749
3;"C71";61;"Malignant neoplasm of brain";1732;19724;513095;0,0352193995381062;0,0384412243346749
3;"C72";2;"Malignant neoplasm of spinal cord, cranial nerves, and other parts of central nervous system";53;19724;513095;0,0377358490566038;0,0384412243346749
3;"C73";21;"Malignant neoplasm of thyroid gland";483;19724;513095;0,0434782608695652;0,0384412243346749
3;"C74";3;"Malignant neoplasm of adrenal gland";84;19724;513095;0,0357142857142857;0,0384412243346749
3;"C75";2;"Malignant neoplasm of other endocrine glands and related structures";55;19724;513095;0,0363636363636364;0,0384412243346749
3;"C76";20;"Malignant neoplasm of other and ill_defined sites";537;19724;513095;0,037243947858473;0,0384412243346749
3;"C77";1;"Secondary and unspecified malignant neoplasm of lymph nodes";24;19724;513095;0,0416666666666667;0,0384412243346749
3;"C78";31;"Secondary malignant neoplasm of respiratory and digestive organs";607;19724;513095;0,0510708401976936;0,0384412243346749
3;"C79";8;"Secondary malignant neoplasm of other sites";312;19724;513095;0,0256410256410256;0,0384412243346749
3;"C80";75;"Malignant neoplasm without specification of site";1838;19724;513095;0,0408052230685528;0,0384412243346749
3;"C81";14;"Hodgkin's disease";432;19724;513095;0,0324074074074074;0,0384412243346749
3;"C82";1;"Follicular [nodular] non-Hodgkin's lymphoma";33;19724;513095;0,0303030303030303;0,0384412243346749
3;"C83";3;"Diffuse non-Hodgkin's lymphoma";241;19724;513095;0,012448132780083;0,0384412243346749
3;"C84";3;"Peripheral and cutaneous T-cell lymphomas";54;19724;513095;0,0555555555555556;0,0384412243346749
3;"C85";78;"Other and unspecified types of non-Hodgkin's lymphoma";1735;19724;513095;0,0449567723342939;0,0384412243346749
3;"C90";31;"Multiple myeloma and malignant plasma cell neoplasms";797;19724;513095;0,0388958594730238;0,0384412243346749
3;"C91";67;"Lymphoid leukemia";1787;19724;513095;0,0374930050363738;0,0384412243346749
3;"C92";42;"Myeloid leukemia";1184;19724;513095;0,035472972972973;0,0384412243346749
3;"C93";1;"Monocytic leukemia";31;19724;513095;0,032258064516129;0,0384412243346749
3;"C95";17;"Leukemia of unspecified cell type";619;19724;513095;0,0274636510500808;0,0384412243346749
3;"C97";35;"Malignant neoplasms of independent (primary) multiple sites";721;19724;513095;0,0485436893203883;0,0384412243346749
3;"D12";2;"Benign neoplasm of colon, rectum, anus, and anal canal";10;19724;513095;0,2;0,0384412243346749
3;"D14";1;"Benign neoplasm of middle ear and respiratory system";6;19724;513095;0,166666666666667;0,0384412243346749
3;"D16";1;"Benign neoplasm of bone and articular cartilage";6;19724;513095;0,166666666666667;0,0384412243346749
3;"D18";3;"Hemangioma and lymphangioma, any site";93;19724;513095;0,032258064516129;0,0384412243346749
3;"D32";11;"Benign neoplasm of meninges";266;19724;513095;0,0413533834586466;0,0384412243346749
3;"D33";3;"Benign neoplasm of brain and other parts of central nervous system";19;19724;513095;0,157894736842105;0,0384412243346749
3;"D35";5;"Benign neoplasm of other and unspecified endocrine glands";112;19724;513095;0,0446428571428571;0,0384412243346749
3;"D37";27;"Neoplasm of uncertain or unknown behavior of oral cavity and digestive organs";706;19724;513095;0,0382436260623229;0,0384412243346749
3;"D38";13;"Neoplasm of uncertain or unknown behavior of middle ear and respiratory and intrathoracic organs";320;19724;513095;0,040625;0,0384412243346749
3;"D39";2;"Neoplasm of uncertain or unknown behavior of female genital organs";53;19724;513095;0,0377358490566038;0,0384412243346749
3;"D40";1;"Neoplasm of uncertain or unknown behavior of male genital organs";29;19724;513095;0,0344827586206897;0,0384412243346749
3;"D41";3;"Neoplasm of uncertain or unknown behavior of urinary organs";125;19724;513095;0,024;0,0384412243346749
3;"D43";42;"Neoplasm of uncertain or unknown behavior of brain and central nervous system";843;19724;513095;0,0498220640569395;0,0384412243346749
3;"D44";9;"Neoplasm of uncertain or unknown behavior of endocrine glands";80;19724;513095;0,1125;0,0384412243346749
3;"D45";3;"Polycythemia vera";40;19724;513095;0,075;0,0384412243346749
3;"D46";13;"Myelodysplastic syndromes";298;19724;513095;0,0436241610738255;0,0384412243346749
3;"D47";11;"Other neoplasms of uncertain or unknown behavior of lymphoid, hematopoietic, and related tissue";143;19724;513095;0,0769230769230769;0,0384412243346749
3;"D48";16;"Neoplasm of uncertain or unknown behavior of other and unspecified sites";587;19724;513095;0,0272572402044293;0,0384412243346749
3;"D50";4;"Iron deficiency anemia";89;19724;513095;0,0449438202247191;0,0384412243346749
3;"D53";30;"Other nutritional anemias";693;19724;513095;0,0432900432900433;0,0384412243346749
3;"D58";2;"Other hereditary hemolytic anemias";57;19724;513095;0,0350877192982456;0,0384412243346749
3;"D59";1;"Acquired hemolytic anemia";53;19724;513095;0,0188679245283019;0,0384412243346749
3;"D61";21;"Other aplastic anemias";483;19724;513095;0,0434782608695652;0,0384412243346749
3;"D64";74;"Other anemias";2067;19724;513095;0,0358006773101113;0,0384412243346749
3;"D65";8;"Disseminated intravascular coagulation [defibrination syndrome]";169;19724;513095;0,0473372781065089;0,0384412243346749
3;"D66";1;"Hereditary factor VIII deficiency";22;19724;513095;0,0454545454545455;0,0384412243346749
3;"D68";8;"Other coagulation defects";155;19724;513095;0,0516129032258065;0,0384412243346749
3;"D69";19;"Purpura and other hemorrhagic conditions";312;19724;513095;0,0608974358974359;0,0384412243346749
3;"D70";3;"Agranulocytosis";45;19724;513095;0,0666666666666667;0,0384412243346749
3;"D75";1;"Other diseases of blood and blood-forming organs";28;19724;513095;0,0357142857142857;0,0384412243346749
3;"D76";2;"Certain diseases involving lymphoreticular tissue and reticulohistiocytic system";44;19724;513095;0,0454545454545455;0,0384412243346749
3;"D80";1;"Immunodeficiency with predominantly antibody defects";8;19724;513095;0,125;0,0384412243346749
3;"D84";3;"Other immunodeficiencies";73;19724;513095;0,0410958904109589;0,0384412243346749
3;"E03";13;"Other hypothyroidism";379;19724;513095;0,0343007915567282;0,0384412243346749
3;"E04";1;"Other nontoxic goiter";35;19724;513095;0,0285714285714286;0,0384412243346749
3;"E05";4;"Thyrotoxicosis [hyperthyroidism]";151;19724;513095;0,0264900662251656;0,0384412243346749
3;"E06";1;"Thyroiditis";2;19724;513095;0,5;0,0384412243346749
3;"E10";30;"Insulin-dependent diabetes mellitus";1118;19724;513095;0,0268336314847943;0,0384412243346749
3;"E11";1624;"Non-insulin-dependent diabetes mellitus  ";42421;19724;513095;0,0382829259093374;0,0384412243346749
3;"E12";95;"Malnutrition-related diabetes mellitus  ";2160;19724;513095;0,0439814814814815;0,0384412243346749
3;"E14";1006;"Unspecified diabetes mellitus  ";27330;19724;513095;0,0368093669959751;0,0384412243346749
3;"E15";1;"Nondiabetic hypoglycemic coma";9;19724;513095;0,111111111111111;0,0384412243346749
3;"E16";5;"Other disorders of pancreatic internal secretion";249;19724;513095;0,0200803212851406;0,0384412243346749
3;"E22";1;"Hyperfunction of pituitary gland";16;19724;513095;0,0625;0,0384412243346749
3;"E23";5;"Hypofunction and other disorders of the pituitary gland";49;19724;513095;0,102040816326531;0,0384412243346749
3;"E24";3;"Cushing's syndrome";43;19724;513095;0,0697674418604651;0,0384412243346749
3;"E27";4;"Other disorders of adrenal gland";57;19724;513095;0,0701754385964912;0,0384412243346749
3;"E34";1;"Other endocrine disorders";22;19724;513095;0,0454545454545455;0,0384412243346749
3;"E40";2;"Kwashiorkor";66;19724;513095;0,0303030303030303;0,0384412243346749
3;"E41";4;"Nutritional marasmus";70;19724;513095;0,0571428571428571;0,0384412243346749
3;"E43";118;"Unspecified severe protein-energy malnutrition";3642;19724;513095;0,0323997803404723;0,0384412243346749
3;"E44";35;"Protein-energy malnutrition of moderate and mild degree";1020;19724;513095;0,0343137254901961;0,0384412243346749
3;"E46";117;"Unspecified protein-energy malnutrition";3275;19724;513095;0,0357251908396947;0,0384412243346749
3;"E56";2;"Other vitamin deficiencies";21;19724;513095;0,0952380952380952;0,0384412243346749
3;"E65";1;"Localized adiposity";1;19724;513095;1;0,0384412243346749
3;"E66";44;"Obesity";1073;19724;513095;0,0410065237651445;0,0384412243346749
3;"E73";1;"Lactose intolerance";3;19724;513095;0,333333333333333;0,0384412243346749
3;"E75";1;"Disorders of sphingolipid metabolism and other lipid storage disorders";18;19724;513095;0,0555555555555556;0,0384412243346749
3;"E78";40;"Disorders of lipoprotein metabolism and other lipidemias";1053;19724;513095;0,0379867046533713;0,0384412243346749
3;"E79";3;"Disorders of purine and pyrimidine metabolism";82;19724;513095;0,0365853658536585;0,0384412243346749
3;"E80";1;"Disorders of porphyrin and bilirubin metabolism";5;19724;513095;0,2;0,0384412243346749
3;"E86";29;"Volume depletion";618;19724;513095;0,0469255663430421;0,0384412243346749
3;"E87";94;"Other disorders of fluid, electrolyte, and acid-base balance";2256;19724;513095;0,0416666666666667;0,0384412243346749
3;"E88";13;"Other metabolic disorders";336;19724;513095;0,0386904761904762;0,0384412243346749
3;"F01";3;"Vascular dementia";67;19724;513095;0,0447761194029851;0,0384412243346749
3;"F03";30;"Unspecified dementia";746;19724;513095;0,0402144772117962;0,0384412243346749
3;"F05";1;"Delirium, not induced by alcohol and other psychoactive substances";24;19724;513095;0,0416666666666667;0,0384412243346749
3;"F10";91;"Mental and behavioral disorders due to use of alcohol";2485;19724;513095;0,0366197183098592;0,0384412243346749
3;"F14";1;"Mental and behavioral disorders due to use of cocaine  ";7;19724;513095;0,142857142857143;0,0384412243346749
3;"F17";1;"Mental and behavioral disorders due to use of tobacco  ";38;19724;513095;0,0263157894736842;0,0384412243346749
3;"F20";5;"Schizophrenia";91;19724;513095;0,0549450549450549;0,0384412243346749
3;"F32";6;"Depressive episode";146;19724;513095;0,0410958904109589;0,0384412243346749
3;"F33";1;"Recurrent depressive disorder";2;19724;513095;0,5;0,0384412243346749
3;"F41";1;"Other anxiety disorders";1;19724;513095;1;0,0384412243346749
3;"F54";1;"Psychological and behavioral factors associated with disorders or diseases classified elsewhere";5;19724;513095;0,2;0,0384412243346749
3;"F60";1;"Specific personality disorders";1;19724;513095;1;0,0384412243346749
3;"F79";1;"Unspecified mental retardation";13;19724;513095;0,0769230769230769;0,0384412243346749
3;"G00";11;"Bacterial meningitis, not elsewhere classified";184;19724;513095;0,0597826086956522;0,0384412243346749
3;"G03";4;"Meningitis due to other and unspecified causes";158;19724;513095;0,0253164556962025;0,0384412243346749
3;"G04";15;"Encephalitis, myelitis, and encephalomyelitis";465;19724;513095;0,032258064516129;0,0384412243346749
3;"G06";3;"Intracranial and intraspinal abscess and granuloma";80;19724;513095;0,0375;0,0384412243346749
3;"G09";3;"Sequelae of inflammatory diseases of central nervous system";74;19724;513095;0,0405405405405405;0,0384412243346749
3;"G10";1;"Huntington's disease";50;19724;513095;0,02;0,0384412243346749
3;"G12";11;"Spinal muscular atrophy and related syndromes";274;19724;513095;0,0401459854014599;0,0384412243346749
3;"G20";39;"Parkinson's disease";1046;19724;513095;0,0372848948374761;0,0384412243346749
3;"G21";2;"Secondary parkinsonism";10;19724;513095;0,2;0,0384412243346749
3;"G25";1;"Other extrapyramidal and movement disorders";10;19724;513095;0,1;0,0384412243346749
3;"G30";35;"Alzheimer's disease";1230;19724;513095;0,0284552845528455;0,0384412243346749
3;"G31";4;"Other degenerative diseases of nervous system, not elsewhere classified";217;19724;513095;0,0184331797235023;0,0384412243346749
3;"G35";8;"Multiple sclerosis";243;19724;513095;0,0329218106995885;0,0384412243346749
3;"G37";1;"Other demyelinating diseases of central nervous system";50;19724;513095;0,02;0,0384412243346749
3;"G40";53;"Epilepsy";1413;19724;513095;0,0375088464260439;0,0384412243346749
3;"G41";4;"Status epilepticus";208;19724;513095;0,0192307692307692;0,0384412243346749
3;"G43";1;"Migraine";3;19724;513095;0,333333333333333;0,0384412243346749
3;"G45";1;"Transient cerebral ischemic attacks and related syndromes";7;19724;513095;0,142857142857143;0,0384412243346749
3;"G47";1;"Sleep disorders";24;19724;513095;0,0416666666666667;0,0384412243346749
3;"G51";1;"Facial nerve disorders";7;19724;513095;0,142857142857143;0,0384412243346749
3;"G58";1;"Other mononeuropathies";14;19724;513095;0,0714285714285714;0,0384412243346749
3;"G60";1;"Hereditary and idiopathic neuropathy";4;19724;513095;0,25;0,0384412243346749
3;"G61";10;"Inflammatory polyneuropathy";197;19724;513095;0,050761421319797;0,0384412243346749
3;"G70";6;"Myasthenia gravis and other myoneural disorders";79;19724;513095;0,0759493670886076;0,0384412243346749
3;"G71";13;"Primary disorders of muscles";229;19724;513095;0,0567685589519651;0,0384412243346749
3;"G80";40;"Infantile cerebral palsy";1004;19724;513095;0,0398406374501992;0,0384412243346749
3;"G81";4;"Hemiplegia";77;19724;513095;0,051948051948052;0,0384412243346749
3;"G82";8;"Paraplegia and tetraplegia";170;19724;513095;0,0470588235294118;0,0384412243346749
3;"G83";2;"Other paralytic syndromes";39;19724;513095;0,0512820512820513;0,0384412243346749
3;"G91";13;"Hydrocephalus";309;19724;513095;0,0420711974110032;0,0384412243346749
3;"G93";35;"Other disorders of brain";1160;19724;513095;0,0301724137931034;0,0384412243346749
3;"G95";6;"Other diseases of spinal cord";134;19724;513095;0,0447761194029851;0,0384412243346749
3;"H66";1;"Suppurative and unspecified otitis media";48;19724;513095;0,0208333333333333;0,0384412243346749
3;"I00";1;"Rheumatic fever without mention of heart involvement";29;19724;513095;0,0344827586206897;0,0384412243346749
3;"I05";23;"Rheumatic mitral valve diseases";497;19724;513095;0,0462776659959759;0,0384412243346749
3;"I07";1;"Rheumatic tricuspid valve diseases";41;19724;513095;0,024390243902439;0,0384412243346749
3;"I08";5;"Multiple valve diseases";142;19724;513095;0,0352112676056338;0,0384412243346749
3;"I09";11;"Other rheumatic heart diseases";328;19724;513095;0,0335365853658537;0,0384412243346749
3;"I10";189;"Essential (primary) hypertension";4944;19724;513095;0,0382281553398058;0,0384412243346749
3;"I11";201;"Hypertensive heart disease";4856;19724;513095;0,0413920922570016;0,0384412243346749
3;"I12";198;"Hypertensive renal disease";4574;19724;513095;0,0432881504153913;0,0384412243346749
3;"I13";24;"Hypertensive heart and renal disease";829;19724;513095;0,0289505428226779;0,0384412243346749
3;"I20";6;"Angina pectoris";199;19724;513095;0,0301507537688442;0,0384412243346749
3;"I21";1749;"Acute myocardial infarction";46794;19724;513095;0,03737658674189;0,0384412243346749
3;"I24";12;"Other acute ischemic heart diseases";288;19724;513095;0,0416666666666667;0,0384412243346749
3;"I25";331;"Chronic ischemic heart disease";10059;19724;513095;0,0329058554528283;0,0384412243346749
3;"I26";47;"Pulmonary embolism";1041;19724;513095;0,0451488952929875;0,0384412243346749
3;"I27";41;"Other pulmonary heart diseases";964;19724;513095;0,0425311203319502;0,0384412243346749
3;"I28";1;"Other diseases of pulmonary vessels";11;19724;513095;0,0909090909090909;0,0384412243346749
3;"I31";2;"Other diseases of pericardium";115;19724;513095;0,0173913043478261;0,0384412243346749
3;"I33";4;"Acute and subacute endocarditis";131;19724;513095;0,0305343511450382;0,0384412243346749
3;"I34";8;"Nonrheumatic mitral valve disorders";176;19724;513095;0,0454545454545455;0,0384412243346749
3;"I35";15;"Nonrheumatic aortic valve disorders";552;19724;513095;0,0271739130434783;0,0384412243346749
3;"I37";1;"Pulmonary valve disorders";4;19724;513095;0,25;0,0384412243346749
3;"I38";9;"Endocarditis, valve unspecified";243;19724;513095;0,037037037037037;0,0384412243346749
3;"I42";37;"Cardiomyopathy";856;19724;513095;0,0432242990654206;0,0384412243346749
3;"I44";11;"Atrioventricular and left bundle-branch block";277;19724;513095;0,0397111913357401;0,0384412243346749
3;"I45";2;"Other conduction disorders";70;19724;513095;0,0285714285714286;0,0384412243346749
3;"I47";3;"Paroxysmal tachycardia";84;19724;513095;0,0357142857142857;0,0384412243346749
3;"I48";47;"Atrial fibrillation and flutter";822;19724;513095;0,0571776155717762;0,0384412243346749
3;"I49";28;"Other cardiac arrhythmias";797;19724;513095;0,0351317440401506;0,0384412243346749
3;"I50";313;"Heart failure";8486;19724;513095;0,0368842799905727;0,0384412243346749
3;"I51";22;"Complications and ill-defined descriptions of heart disease";794;19724;513095;0,0277078085642317;0,0384412243346749
3;"I60";64;"Subarachnoid hemorrhage";1721;19724;513095;0,0371876815804765;0,0384412243346749
3;"I61";248;"Intracerebral hemorrhage";6485;19724;513095;0,0382420971472629;0,0384412243346749
3;"I62";19;"Other nontraumatic intracranial hemorrhage";440;19724;513095;0,0431818181818182;0,0384412243346749
3;"I63";119;"Cerebral infarction";3560;19724;513095;0,0334269662921348;0,0384412243346749
3;"I64";206;"Stroke, not specified as hemorrhage or infarction";5093;19724;513095;0,0404476732770469;0,0384412243346749
3;"I67";275;"Other cerebrovascular diseases";7266;19724;513095;0,0378475089457748;0,0384412243346749
3;"I69";152;"Sequelae of cerebrovascular disease";4600;19724;513095;0,0330434782608696;0,0384412243346749
3;"I70";6;"Atherosclerosis";351;19724;513095;0,0170940170940171;0,0384412243346749
3;"I71";18;"Aortic aneurysm and dissection";514;19724;513095;0,0350194552529183;0,0384412243346749
3;"I72";6;"Other aneurysm";108;19724;513095;0,0555555555555556;0,0384412243346749
3;"I73";10;"Other peripheral vascular diseases";318;19724;513095;0,0314465408805031;0,0384412243346749
3;"I74";6;"Arterial embolism and thrombosis";229;19724;513095;0,0262008733624454;0,0384412243346749
3;"I77";17;"Other disorders of arteries and arterioles";464;19724;513095;0,0366379310344828;0,0384412243346749
3;"I80";12;"Phlebitis and thrombophlebitis";314;19724;513095;0,0382165605095541;0,0384412243346749
3;"I82";4;"Other venous embolism and thrombosis";61;19724;513095;0,0655737704918033;0,0384412243346749
3;"I83";5;"Varicose veins of lower extremities";111;19724;513095;0,045045045045045;0,0384412243346749
3;"I85";16;"Esophageal varices";300;19724;513095;0,0533333333333333;0,0384412243346749
3;"I87";5;"Other disorders of veins";321;19724;513095;0,0155763239875389;0,0384412243346749
3;"I89";1;"Other noninfective disorders of lymphatic vessels and lymph nodes";17;19724;513095;0,0588235294117647;0,0384412243346749
3;"I99";3;"Other and unspecified disorders of circulatory system";141;19724;513095;0,0212765957446809;0,0384412243346749
3;"J01";1;"Acute sinusitis";2;19724;513095;0,5;0,0384412243346749
